OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,geoname,Median_Housing_Value,houses,lessthan10k,a10kto14999,a15kto19999,a20kto24999,a25kto29999,a30kto34999,a35kto39999,a40kto49999,a50kto59999,a60kto69999,a70kto79999,a80kto89999,a90kto99999,a100kto124999,a125kto149999,a150kto174999,a175kto199999,a200kto249999,a250kto299999,a300kto399999,a400kto499999,a500kto749999,a750kto999999,a1Mto1499999,a1500000to1999999,a2MorMore,Units_with_cash_rent,MedianGrossRent,GlobalID,Shape__Area,Shape__Length,Affordable,Middle,HighEnd,Affordability_Index
3018,37,119,6105,1,371190061051,Block Group 1,"Block Group 1, Census Tract 61.05, Mecklenburg County, North Carolina",182500.0,761.0,0,0,0,13,0,0,0,0,4,0,6,6,0,44,134,143,102,205,67,34,0,3,0,0,0,0,319,1482.0,be650988-6c31-4457-9f92-87e088b53726,82469652.7406006,43114.0378784524,207,551,3,0.2720105124835742
3019,37,119,3109,1,371190031091,Block Group 1,"Block Group 1, Census Tract 31.09, Mecklenburg County, North Carolina",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1089,1152.0,8b91847d-588a-4048-b424-95d503611e8b,5838491.63519287,11934.2064522827,0,0,0,0.0
3020,37,119,3806,3,371190038063,Block Group 3,"Block Group 3, Census Tract 38.06, Mecklenburg County, North Carolina",83300.0,33.0,0,0,0,0,0,0,0,0,0,12,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1145,1290.0,8e1af5b8-b6a4-4447-8592-c2f8ebd2375e,12117029.3765259,16886.3302161294,33,0,0,1.0
3021,37,119,6006,1,371190060061,Block Group 1,"Block Group 1, Census Tract 60.06, Mecklenburg County, North Carolina",117000.0,906.0,0,0,0,0,0,0,0,0,13,16,26,96,107,287,131,203,13,14,0,0,0,0,0,0,0,0,199,1196.0,85ec377d-1c04-4435-8b05-73deaf3cb560,27128672.7304077,26685.5507578177,676,230,0,0.7461368653421634
3022,37,119,5841,2,371190058412,Block Group 2,"Block Group 2, Census Tract 58.41, Mecklenburg County, North Carolina",,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,367,1413.0,6ceb89f6-dbbb-43b0-a562-314f463234e8,3574727.45446777,11485.6262987311,0,0,15,0.0
3023,37,119,4900,1,371190049001,Block Group 1,"Block Group 1, Census Tract 49, Mecklenburg County, North Carolina",112500.0,176.0,0,0,0,4,0,0,0,0,0,8,0,5,23,96,14,5,0,16,0,5,0,0,0,0,0,0,75,730.0,380175f3-df3c-4140-a78a-92c90453deb2,9489828.25054932,12506.2768011764,150,26,0,0.8522727272727273
3024,37,119,1801,1,371190018011,Block Group 1,"Block Group 1, Census Tract 18.01, Mecklenburg County, North Carolina",,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,177,879.0,6c584fd1-5276-466f-9f95-ede8bd9a7c39,7916016.4364624,13458.1959397302,6,5,0,0.5454545454545454
3025,37,119,5524,5,371190055245,Block Group 5,"Block Group 5, Census Tract 55.24, Mecklenburg County, North Carolina",167500.0,186.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,114,44,15,0,0,0,0,0,0,0,0,543,1162.0,fd3564d1-a389-4b8e-958b-06418c06c7ce,56785572.3563843,35133.1458482141,13,173,0,0.06989247311827956
3026,37,119,5830,1,371190058301,Block Group 1,"Block Group 1, Census Tract 58.30, Mecklenburg County, North Carolina",166100.0,463.0,0,0,0,0,0,8,0,0,24,14,21,13,15,8,36,144,77,68,27,0,0,0,0,8,0,0,188,1052.0,2cbb69f0-8fea-4796-ae3f-dd9706932d5c,13652437.2433472,19736.7408951523,139,316,8,0.3002159827213823
3027,37,119,2002,1,371190020021,Block Group 1,"Block Group 1, Census Tract 20.02, Mecklenburg County, North Carolina",418300.0,716.0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,21,127,168,142,171,17,54,0,0,143,,166ccb5d-f48f-4255-bf21-59ed4e5097a9,21406571.382019,21282.4458608733,16,316,384,0.0223463687150838
3028,37,119,2200,1,371190022001,Block Group 1,"Block Group 1, Census Tract 22, Mecklenburg County, North Carolina",462300.0,264.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,27,146,30,47,0,0,0,442,1219.0,81c81df9-0b1c-4986-b05e-072392f2f423,11343296.0516357,15046.7179273149,0,41,223,0.0
3029,37,119,2903,2,371190029032,Block Group 2,"Block Group 2, Census Tract 29.03, Mecklenburg County, North Carolina",1518100.0,434.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,8,0,15,5,173,117,105,0,,14014535-21e0-47c2-90cf-017c9defcd3c,23879958.1530151,21160.607101008,0,19,415,0.0
3030,37,119,2701,1,371190027011,Block Group 1,"Block Group 1, Census Tract 27.01, Mecklenburg County, North Carolina",866900.0,273.0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,9,9,33,9,9,22,8,7,31,78,18,24,18,,33e25701-e903-430c-81e5-12ccddc3c680,4443510.84973145,9839.65396811238,25,82,166,0.09157509157509157
3031,37,119,3012,2,371190030122,Block Group 2,"Block Group 2, Census Tract 30.12, Mecklenburg County, North Carolina",370900.0,782.0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,29,123,309,263,38,0,0,0,0,372,1099.0,5e0fa6de-0e6a-45d9-b235-5a6ecc9cf1d3,16259771.2362061,17041.4223255337,13,468,301,0.016624040920716114
3032,37,119,1918,3,371190019183,Block Group 3,"Block Group 3, Census Tract 19.18, Mecklenburg County, North Carolina",80400.0,65.0,0,0,0,0,0,0,0,12,9,0,11,12,10,0,0,0,11,0,0,0,0,0,0,0,0,0,456,983.0,0a01ab1b-ccde-4988-abdc-0c698db4335c,6150733.16473389,9816.55750799144,54,11,0,0.8307692307692308
3033,37,119,1702,3,371190017023,Block Group 3,"Block Group 3, Census Tract 17.02, Mecklenburg County, North Carolina",185000.0,250.0,0,0,0,0,0,0,8,0,0,0,8,0,0,5,35,57,30,73,24,10,0,0,0,0,0,0,113,1119.0,b1059d60-5bb1-4905-96c8-20a1f1f95ec5,7166614.11645508,13357.5913005519,56,194,0,0.224
3034,37,119,5848,3,371190058483,Block Group 3,"Block Group 3, Census Tract 58.48, Mecklenburg County, North Carolina",319100.0,334.0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,34,97,141,40,13,0,0,0,0,0,,d1832e8f-c6f4-4ad6-b991-fed339b7c9ee,10512217.9403076,13322.5283403812,9,272,53,0.02694610778443114
3035,37,119,5508,2,371190055082,Block Group 2,"Block Group 2, Census Tract 55.08, Mecklenburg County, North Carolina",211200.0,606.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,99,101,236,114,6,0,0,0,0,0,0,202,2079.0,a613aa59-6a58-499e-826c-227de0c90f03,17878641.9921875,25482.8594614555,50,556,0,0.08250825082508251
3036,37,119,3400,1,371190034001,Block Group 1,"Block Group 1, Census Tract 34, Mecklenburg County, North Carolina",753900.0,402.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,79,108,128,54,21,0,271,1257.0,2edd630f-40f6-42a9-9815-1a869dd1e44a,12603288.1760864,14964.8000300519,0,12,390,0.0
3037,37,119,3201,1,371190032011,Block Group 1,"Block Group 1, Census Tract 32.01, Mecklenburg County, North Carolina",294100.0,239.0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,29,34,0,16,38,55,60,0,0,0,0,0,112,975.0,37c72239-798b-413c-8800-40525f056430,7849706.29516602,12377.7302621502,36,143,60,0.1506276150627615
3038,37,119,2903,3,371190029033,Block Group 3,"Block Group 3, Census Tract 29.03, Mecklenburg County, North Carolina",434100.0,254.0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,11,22,0,0,22,48,44,51,47,0,0,0,859,1254.0,0c7c100c-bf36-4f9a-9ca9-80fab0d93fee,7555968.09552002,15527.0234928373,20,92,142,0.07874015748031496
3039,37,119,6104,1,371190061041,Block Group 1,"Block Group 1, Census Tract 61.04, Mecklenburg County, North Carolina",163900.0,342.0,0,0,0,0,0,0,0,0,0,0,0,20,15,12,114,18,0,131,19,13,0,0,0,0,0,0,87,1231.0,9477a603-e6d8-4e32-ba87-8b1f7fee278a,29316388.8650513,25084.4648158011,161,181,0,0.47076023391812866
3040,37,119,5616,1,371190056161,Block Group 1,"Block Group 1, Census Tract 56.16, Mecklenburg County, North Carolina",152800.0,373.0,8,5,5,0,0,10,0,0,0,6,3,33,0,51,55,93,47,23,15,0,9,0,0,10,0,0,131,1325.0,7e33fc07-5617-45dc-9575-b0f1d279f56c,83116264.0613403,42045.1727429206,176,178,19,0.4718498659517426
3041,37,119,5000,1,371190050001,Block Group 1,"Block Group 1, Census Tract 50, Mecklenburg County, North Carolina",179500.0,140.0,0,0,0,0,0,0,0,0,0,4,0,29,0,31,0,4,11,24,19,14,0,4,0,0,0,0,305,743.0,0eaa1039-5a7f-42e5-990c-36d56d6b4005,4620319.71099854,9562.9625997704,64,72,4,0.45714285714285713
3042,37,119,4400,1,371190044001,Block Group 1,"Block Group 1, Census Tract 44, Mecklenburg County, North Carolina",82500.0,100.0,5,0,0,14,0,0,0,28,0,0,0,12,7,9,0,0,25,0,0,0,0,0,0,0,0,0,322,920.0,c75d00d2-f223-4c13-b20e-7e61bf00ba58,29672633.0415039,28882.082467353,75,25,0,0.75
3043,37,119,1507,2,371190015072,Block Group 2,"Block Group 2, Census Tract 15.07, Mecklenburg County, North Carolina",101800.0,146.0,0,0,0,0,0,0,0,0,0,0,3,52,17,14,60,0,0,0,0,0,0,0,0,0,0,0,335,948.0,329d7bee-0fb8-42a5-ba3f-2ace26dcc639,8580266.20788574,13554.8488277844,146,0,0,1.0
3044,37,119,900,2,371190009002,Block Group 2,"Block Group 2, Census Tract 9, Mecklenburg County, North Carolina",324500.0,268.0,0,0,0,0,0,0,0,0,4,0,0,0,0,18,14,29,0,5,38,106,16,19,19,0,0,0,189,1069.0,39bdfae1-addd-47cc-b1ed-8646cae568dc,6085113.39611816,17004.5995513009,36,178,54,0.13432835820895522
3045,37,119,1701,1,371190017011,Block Group 1,"Block Group 1, Census Tract 17.01, Mecklenburg County, North Carolina",267000.0,252.0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,10,14,33,31,47,72,13,10,0,0,0,0,374,1049.0,d9245215-5370-447c-9c21-3b68e15dd80e,11972337.3461304,16281.3618492069,32,197,23,0.12698412698412698
3046,37,119,2701,2,371190027012,Block Group 2,"Block Group 2, Census Tract 27.01, Mecklenburg County, North Carolina",716500.0,407.0,0,0,0,0,0,0,7,0,0,0,0,0,0,9,0,18,16,63,24,0,31,41,40,17,72,69,108,1300.0,1f8f30be-4a02-4e75-b274-ff995300b89a,8635781.57348633,15710.214521393,16,121,270,0.03931203931203931
3047,37,119,5706,3,371190057063,Block Group 3,"Block Group 3, Census Tract 57.06, Mecklenburg County, North Carolina",205400.0,476.0,13,16,13,0,0,0,0,0,0,0,0,0,0,24,23,32,104,120,114,17,0,0,0,0,0,0,79,1357.0,f919e104-f3ec-4af7-8fc6-4ca479db027e,17538874.1651001,17804.9404111906,89,387,0,0.1869747899159664
3048,37,119,6006,3,371190060063,Block Group 3,"Block Group 3, Census Tract 60.06, Mecklenburg County, North Carolina",151700.0,396.0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,56,117,56,33,0,0,0,0,0,0,0,0,126,982.0,6785f122-d3f8-47ca-8345-827f20bc64f2,44480060.8673706,32546.8840305044,190,206,0,0.4797979797979798
3049,37,119,5200,2,371190052002,Block Group 2,"Block Group 2, Census Tract 52, Mecklenburg County, North Carolina",79000.0,71.0,0,0,0,0,0,0,0,0,0,4,35,0,0,23,0,0,0,0,0,9,0,0,0,0,0,0,178,795.0,ec2d865f-0419-401c-94d9-69c0280ae0b5,5578557.56164551,9799.60819101324,62,9,0,0.8732394366197183
3050,37,119,5604,3,371190056043,Block Group 3,"Block Group 3, Census Tract 56.04, Mecklenburg County, North Carolina",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ef474c13-949e-4329-be07-ef52289c823e,3367482.30633545,7757.10662247963,0,0,0,0.0
3051,37,119,3013,1,371190030131,Block Group 1,"Block Group 1, Census Tract 30.13, Mecklenburg County, North Carolina",660100.0,913.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,79,155,324,111,90,83,56,152,1150.0,f17358b3-6a4d-483b-a146-e1479cfe04e7,37092920.7591553,36604.3541276396,0,94,819,0.0
3052,37,119,3204,3,371190032043,Block Group 3,"Block Group 3, Census Tract 32.04, Mecklenburg County, North Carolina",548900.0,337.0,0,0,0,0,0,0,0,0,0,0,0,18,0,9,9,0,0,40,0,30,49,69,48,65,0,0,71,978.0,94923f1f-e8fa-4593-bd08-bc125a0ec632,9926140.77618408,15330.8425192145,36,70,231,0.10682492581602374
3053,37,119,4200,1,371190042001,Block Group 1,"Block Group 1, Census Tract 42, Mecklenburg County, North Carolina",92400.0,52.0,0,0,0,0,0,0,0,0,12,0,6,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,205,759.0,3a37f703-dd05-43eb-97ea-6162fc091792,7278805.97424316,14404.6918920924,52,0,0,1.0
3054,37,119,5619,2,371190056192,Block Group 2,"Block Group 2, Census Tract 56.19, Mecklenburg County, North Carolina",158800.0,536.0,0,10,0,0,0,0,0,0,0,0,0,0,0,87,113,164,62,42,17,28,13,0,0,0,0,0,152,1573.0,4ecb3352-e95e-47ec-a44c-17f261aa0852,30953517.564209,27360.3765996086,210,313,13,0.3917910447761194
